Sonatas Op5: No12 in D minor "La Follia" Corelli, Arcangelo
Symphony No   6 in D "Morning" Haydn, Joseph
Concerto for Orchestra: Finale Bartok, Bela
O Holy Night Adam, Adolphe
Egmont Overture Op84 Beethoven, Ludwig van
Tragic Overture Op81 Brahms, Johannes
Reminiscences from the Norwegian Mountains Berwald, Franz
Orchestra Suite No 2 in B minor BWV1067 Bach, Johann Sebastian
Piano Quintet Carpenter, John Alden
German Dances K571 (6) Mozart, Wolfgang Amadeus
Symphony No 5 in E flat Op82 Sibelius, Jean
La Mer Debussy, Claude
String Quartet No  3 in D Op18 No3 Beethoven, Ludwig van
Brandenburg Concerto No 3 in G BWV1048 Bach, Johann Sebastian
Polonaise Op71 No2 in B flat Chopin, Frederic
Tragic Overture Op81 Brahms, Johannes
Divertimento K196f in B flat Mozart, Wolfgang Amadeus
Night in Venice Overture Strauss, Johann Jr
Symphony in D "Sinfonia da chiesa" Kraus, Joseph Martin
32. Piano Concerto in A minor Op16 Grieg, Edvard
Julius Caesar Op78 Castelnuovo-Tedesco, Mario
Ouverture de Fete Ibert, Jacques
In those days (2) Ireland, John
Something Doing Joplin, Scott
Danse de la Sorciere Tansman, Alexandre
Symphony No  84 in E flat Haydn, Joseph
Little Serenade Op12 Larsson, Lars-Erik
Les Fetes dHebe Ouverture Rameau, Jean-Philippe
Walkuere: Ride of the Valkyries Wagner, Richard
Slavonic Dances Op46: No4 in F Dvorak, Antonin
Scherzo No 4 in E Op54 Chopin, Frederic
Terpsichore Dances Praetorius, Michael
Good King Wenceslas Traditional
March Bach, Carl Philipp Emanuel
Tromba Lontana Adams, John
Songs without Words Op 62: No4 in G "Morning Song" Mendelssohn, Felix
Les Preludes Liszt, Franz
English Tunes (6) Warlock, Peter
Death Valley Suite (4) Grofe, Ferde
Variations on a theme by Robert Schumann Schumann, Clara
Suite Populare Espagnole Falla, Manuel de
Bassoon Concerto in B flat C74 Rosetti, Antonio
Sinfonia de caccia in G Mozart, Leopold
Hansel and Gretel Overture Humperdinck, Engelbert
Scherzo and Cortege Ireland, John
Wallensteins Camp Op14 Smetana, Bedrich
String Quartet Op58 No5 in D Boccherini, Luigi
Flute Sonata BWV1032 in A Bach, Johann Sebastian
Symphony No 5 in E flat Op82 Sibelius, Jean
Sonata in C Op15b Sor, Fernando
Orfeo ed Euridice: Dance of the Blessed Spirits Gluck, Christoph Willibald von
Lady in the Dark Symphonic Nocturne Weill, Kurt
Rhapsody on a Theme of Paganini Op43 Rachmaninov, Sergei
Der Freischuetz Overture Weber, Carl Maria von
Italian Concerto BWV971 in F Bach, Johann Sebastian
String Symphony No 13 in C minor Mendelssohn, Felix
Dioclesian Suite Purcell, Henry
Voices of Spring Op410 Strauss, Johann Jr
Orchestral Poem Ireland, John
Macbeth and the Witches Smetana, Bedrich
Piano Sonata D575 in B Schubert, Franz
Leonore Overture No 3 Op72a Beethoven, Ludwig van
Symphony No 29 in A K201 Mozart, Wolfgang Amadeus
Flying Dutchman Overture Wagner, Richard
Serenade Op7 Kelly, Frederick Septimus
String Quartet No  8 in E minor Op59 No2 "Razumovsky" Beethoven, Ludwig van
Fantasia No 4 in G minor Purcell, Henry
Hungarian Rhapsody No 12 (Label says No4) Liszt, Franz
Neal Gittleman On The Air Various
Impresario Overture Mozart, Wolfgang Amadeus
Symphony Op12 No4 in D minor "La Casa del Diavolo" G506 Boccherini, Luigi
Flute Concerto in G Pergolesi, Giovanni
Suite in F for Two Horns Telemann, Georg Philipp
Violin Concerto RV332 in G minor Vivaldi, Antonio
Trio D471 for Violin, Viola and Cello Schubert, Franz
Sonata XXI, con tre violini (a4) C214 Gabrieli, Giovanni
Piano Concerto No 23 in A K488 Mozart, Wolfgang Amadeus
Songs without Words Op 19: No3 in A "Hunting Song" Mendelssohn, Felix
Traviata: Waltz Verdi, Giuseppe
Pavan in B flat Purcell, Henry
"Ich steh mit einem Fuss im Grabe" BWV156 Bach, Johann Sebastian
Cello Concerto Wq160 in A minor Bach, Carl Philipp Emanuel
Abdelazer Overture Purcell, Henry
Symphony No  5 in D minor Op47 Shostakovich, Dmitri
Sonata for Piano Four-Hands Op14 No3 in E flat Clementi, Muzio
Atalanta Overture Handel, George Frideric
Kinderscenen Op15 Schumann, Robert
Introduction, Theme and Variations Op102 Hummel, Johann Nepomuk
Concerto Grosso Op6 No11 Handel, George Frideric
Arabesque No 1 Debussy, Claude
Sonata K380 in E Scarlatti, Domenico
String Quartet in F Ravel, Maurice
The Prince and the Showgirl Addinsell, Richard
Springtime Suite (3) Coates, Eric
Piano Concerto No 1 in D minor Op15 Brahms, Johannes
Symphony No 4 in F minor Op36 Tchaikovsky, Peter Ilych
King Stephen Overture Op117 Beethoven, Ludwig van
Intermezzo Op76 No6 in A Brahms, Johannes
Stars and Stripes Forever Sousa, John Philip
Russian Easter Overture Op36 Rimsky-Korsakov, Nikolai
Concerto No  7 in G minor Avison, Charles
Lamia Howell, Dorothy
Angiolina, ossia Il matrimonio per sussuro Overture Salieri, Antonio
Consortien Walzer Op260 Strauss, Josef
Bacchanale Ibert, Jacques
Lady Godiva Overture Novak, Vitezslav
Sonatina Meridional Ponce, Manuel
Les Bergeries Couperin, Francois
Bassoon Concerto in F Vivaldi, Antonio
Symphony No 1 in D Benda, Jiri Antonin
Symphony No  9 in E flat Op70 Shostakovich, Dmitri
Hell und voll (Waltz) Op216 Strauss, Johann Jr
Concerto RV149 in G Vivaldi, Antonio
Symphony No 4 in C minor D417 "Tragic" Schubert, Franz
Sorcerers Apprentice Dukas, Paul
Symphony No  99 in E flat Haydn, Joseph
Symphony G510 in E flat Boccherini, Luigi
Violin Sonata RV12 in D minor Vivaldi, Antonio
Scherzo Capriccioso Op66 Dvorak, Antonin
"Gretchen am Spinnrade" D118 Schubert, Franz
Concerto No  6 in C Op5 Albinoni, Tomaso
Harp Concertino Op93 Castelnuovo-Tedesco, Mario
Ouverture No 4 in F Veracini, Francesco
Symphony No 2 in C Op61 Schumann, Robert
Water Music: Suite No 2 in D HWV349 Handel, George Frideric
Andante in E flat Op81 No1 Mendelssohn, Felix
Hungarian Rhapsody No 10 Liszt, Franz
Symphony Op3 No5 in F Bach, Johann Christian
Symphony in F F67 Bach, Wilhelm Friedemann
Bagatelles Op 33: No5 in C Beethoven, Ludwig van
Violin Concerto No 3 in B minor Op61 Saint-Saens, Camille
Piano Concerto No 6 in C Field, John
70. Piano Concerto No 21 in C K467 Mozart, Wolfgang Amadeus
Overture for Hanukkah Tew, Christopher C.
Winters Tale Overture Op80 Castelnuovo-Tedesco, Mario
Violin Concerto BWV1042 in E Bach, Johann Sebastian
Concerto for Two Horns in E flat Telemann, Georg Philipp
Violin Sonata No  9 in A Op47 "Kreutzer" Beethoven, Ludwig van
Sonata for Two Oboes and Bassoon in B flat Fasch, Johann Friedrich
Don Juan Op20 Strauss, Richard
Parsifal: Prelude Wagner, Richard
LElisir dAmore: "Una furtiva lagrima" Donizetti, Gaetano
Gaite Parisienne Suite (Offenbach) Rosenthal, Manuel
Escales (Ports of Call) Ibert, Jacques
Concierto de Aranjuez Rodrigo, Joaquin
Lassedio di Calais: Ballet Donizetti, Gaetano
Symphony in A minor Vanhal, Jan Krtitel
Overture "Hebrides" Op26 Mendelssohn, Felix
Sonata XIII Gabrieli, Giovanni
Preludes Book2: No 8 Ondine Debussy, Claude
Organ Concerto No 2 in B flat Op4 No2 Handel, George Frideric
Bolt Suite Op27a Shostakovich, Dmitri
Impresiones: No2 Cancion Ginastera, Alberto
Rondo brilliant Op29 Mendelssohn, Felix
Paris Quartets: No 7 Quartet No 1 Telemann, Georg Philipp
Symphony No  50 in C Haydn, Joseph
Sonata K 13 in G Scarlatti, Domenico
Pomp and Circumstance Marches Op39: No1 in D Elgar, Edward
Piano Concerto No 1 in E flat Liszt, Franz
Symphony No 6 in D Op60 Dvorak, Antonin
Slavonic Dances Op72: No4 in D flat Dvorak, Antonin
Concerto Grosso No 4 in E flat Hellendaal, Pieter
Bagatelles Op119: No 2 in C Beethoven, Ludwig van
Flying Dutchman Overture Wagner, Richard
London Again Suite Coates, Eric
Swedish Rhapsody No. 1 Alfven, Hugo
Fantasia para un Gentilhombre Rodrigo, Joaquin
Sleeping Beauty Suite Tchaikovsky, Peter Ilych
Magic Flute Overture Mozart, Wolfgang Amadeus
Suite Espanola Op47: Asturias Albeniz, Isaac
Rondo K511 in A minor Mozart, Wolfgang Amadeus
